idade,genero,uf,regiao,nivel_ens,area_form,situac_de_trab,setor_atuacao,n_func,cargo,nivel,faixa_sal,experiencia,form_trab,sql,r,python,c,dotnet,java,julia,sas_stata,vba,scala,matlab,php,javascript,nao_utiliza_ling,tot_ling
20.0,Masculino,RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Acima de 3000,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31.0,Masculino,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Indústria,Acima de 3000,Outro,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% presencial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35.0,Masculino,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Internet/Ecommerce,de 101 a 500,Engenheiro de Dados/Data Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,Masculino,ES,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil (PJ),Tecnologia/Fábrica de Software,de 501 a 1000,Desenvolvedor ou Engenheiro de Software,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% remoto,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
34.0,Masculino,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Internet/Ecommerce,de 101 a 500,Analista de BI/BI Analyst/Analytics Engineer,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,Masculino,DF,Centro-oeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Acima de 3000,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32.0,Masculino,MT,Centro-oeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Varejo,de 501 a 1000,Engenheiro de Dados/Data Engineer,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.0,Masculino,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,de 11 a 50,Engenheiro de Machine Learning/ML Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31.0,Masculino,PR,Sul,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças,Servidor Público,Educação,Acima de 3000,Outro,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52.0,Masculino,PE,Nordeste,Doutorado ou Phd,Outras Engenharias,Servidor Público,Educação,de 1001 a 3000,Professor,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% presencial,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,Masculino,CE,Nordeste,Estudante de Graduação,Química / Física,Freelancer,Tecnologia/Fábrica de Software,Acima de 3000,Desenvolvedor ou Engenheiro de Software,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
23.0,Masculino,RJ,Sudeste,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Setor Alimentício,Acima de 3000,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30.0,Masculino,RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Educação,de 101 a 500,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.0,Masculino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Entretenimento ou Esportes,de 1001 a 3000,Engenheiro de Dados/Data Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,Masculino,RJ,Sudeste,Pós-graduação,Ciências Sociais,Empregado (CLT),Internet/Ecommerce,Acima de 3000,Cientista de Dados/Data Scientist,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29.0,Masculino,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1000,Cientista de Dados/Data Scientist,Pleno,de R$ 1.001/mês a R$ 2.000/mês,de 2 a 3 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,DBA/Administrador de Banco de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
